CustomerID,Gender,Age,Annual_Income_(k$),Spending_Score_(1-100),Product_Category
166,Female,28,35,65,Clothing
167,Female,39,55,45,Clothing
168,Female,24,32,75,Clothing
169,Female,48,90,25,Clothing
170,Female,30,40,55,Clothing
171,Female,25,30,60,Clothing
172,Female,45,70,40,Clothing
173,Female,23,25,70,Clothing
174,Female,35,65,50,Clothing
175,Female,46,80,30,Clothing
176,Female,28,35,65,Clothing
177,Female,39,55,45,Clothing
178,Female,24,32,75,Clothing
179,Female,48,90,25,Clothing
180,Female,30,40,55,Clothing
181,Female,25,30,60,Sports Goods
182,Female,45,70,40,Sports Goods
183,Female,23,25,70,Sports Goods
184,Female,35,65,50,Sports Goods
185,Female,46,80,30,Sports Goods
186,Female,28,35,65,Sports Goods
187,Female,39,55,45,Sports Goods
188,Female,24,32,75,Sports Goods
189,Female,48,90,25,Sports Goods
190,Female,30,40,55,Sports Goods
191,Female,25,30,60,Sports Goods
192,Female,45,70,40,Sports Goods
193,Female,23,25,70,Sports Goods
194,Female,35,65,50,Sports Goods
195,Female,46,80,30,Sports Goods
196,Female,28,35,65,Sports Goods
197,Female,39,55,45,Sports Goods
198,Female,24,32,75,Sports Goods
199,Female,48,90,25,Sports Goods
200,Female,30,40,55,Sports Goods
